construct,part number,strategy,construct name,source,primer1,primer2,pcr (bp),pcr number
1,1,Gibson,P(cpcG2)-LacZ controller,pJT118,EMP732,EMP763,3115,1.1
1,2,Gibson,P(cpcG2)-LacZ controller,pEM124,EMP734,EMP735,5180,1.2
2,1,Gibson,P(T7)-Red firefly luciferase output,pC10-03,EMP764,EMP765,2674,2.1
2,2,Gibson,P(T7)-Red firefly luciferase output,pEM113,EMP766,EMP767,3339,2.2
3,1,Gibson,P(K1F)-Red firefly luciferase output,pC10-03,EMP768,EMP765,2674,3.1
3,2,Gibson,P(K1F)-Red firefly luciferase output,pEM114,EMP766,EMP769,3339,3.2
4,1,Gibson,P(T3)-Red firefly luciferase output,pC10-03,EMP770,EMP765,2674,4.1
4,2,Gibson,P(T3)-Red firefly luciferase output,pEM115,EMP766,EMP771,3339,4.2
5,1,Gibson,P(T7)-Vibrio luciferase output,pC10-13,EMP772,EMP773,6518,5.1
5,2,Gibson,P(T7)-Vibrio luciferase output,pEM113,EMP774,EMP775,3339,5.2
6,1,Gibson,P(K1F)-Vibrio luciferase output,pC10-13,EMP776,EMP773,6518,6.1
6,2,Gibson,P(K1F)-Vibrio luciferase output,pEM114,EMP774,EMP777,3339,6.2
7,1,Gibson,P(T3)-Vibrio luciferase output,pC10-13,EMP778,EMP773,6518,7.1
7,2,Gibson,P(T3)-Vibrio luciferase output,pEM115,EMP774,EMP779,3339,7.2
8,1,Gibson30,P(cpcG2)-K1F controller with swapped promoter positions,EMP700,EMP780,EMP781,340,8.1
8,2,Gibson30,P(cpcG2)-K1F controller with swapped promoter positions,pEM124,EMP782,EMP783,7852,8.2
9,1,Gibson30,P(cpcG2)-T7 controller with swapped promoter positions,EMP700,EMP780,EMP784,340,9.1
9,2,Gibson30,P(cpcG2)-T7 controller with swapped promoter positions,pEM125,EMP785,EMP783,7963,9.2
10,1,Gibson,pJT118 with swapped cpcG2 promoter positions,EMP700,EMP747,EMP748,320,10.1
10,2,Gibson,pJT118 with swapped cpcG2 promoter positions,pJT118,EMP749,EMP750,8582,10.2
11,1,Gibson,T7 RNAP core on BAC and R6K origins with AmpR,pEM096,EMP786,EMP787,983,11.1
11,2,Gibson,T7 RNAP core on BAC and R6K origins with AmpR,THSS301,EMP788,EMP789,7879,11.2
12,1,Gibson,T7 RNAP core on BAC ori only with AmpR,pEM096,EMP790,EMP787,983,12.1
